Champion,Class,Release Date,Blue Essence,Season
Xayah,Marksman,2017-04-19,6300,7
Xerath,Artillery,2011-10-05,4800,1
Xin Zhao,Diver,2010-07-13,1350,1
Yasuo,Skirmisher,2013-12-13,4800,3
Yone,Assassin,2020-08-06,6300,10
Yorick,Juggernaut,2011-06-22,4800,1
Yuumi,Enchanter,2019-05-14,6300,9
Zac,Vanguard,2013-03-29,4800,3
Zed,Assassin,2012-11-13,4800,2
Ziggs,Artillery,2012-02-01,4800,2
Zilean,Specialist,2009-04-18,1350,0
Zoe,Burst,2017-11-22,6300,7
Zyra,Catcher,2012-07-24,4800,2
