Patch,Player,Team,Champion,Position,Tree,Secondary,Keystone,Rune1,Rune2,Rune3,Rune4,Rune5,Stat1,Stat2,Stat3,MH,Number,KeystoneReverse,Rune1Reverse,Rune2Reverse,Rune3Reverse,Rune4Reverse,Rune5Reverse,,,
11.9,Yutapon,DFM,Kaisa,ADC,Domination,Inspiration,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Armor,Link,632,Predator,Cheap Shot,Zombie Ward,Relentless Hunter,Future's Market,Cosmic Insight,Scaling CDR,Adaptive Force,Armor
11.9,Kazu,DFM,Rell,Support,Resolve,Inspiration,Aftershock,Shield Bash,Second Wind,Unflinching,Hextech Flashtraption,Time Warp Tonic,Scaling CDR,Armor,Armor,Link,631,Hail of Blades,Taste of Blood,Eyeball Collection,Ravenous Hunter,Bone Plating,Demolish,Attack Speed,Adaptive Force,Armor
11.9,Xiaohu,RNG,Gnar,Top,Precision,Domination,Fleet Footwork,Overheal,Legend: Tenacity,Last Stand,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Armor,Link,630,Aftershock,Font of Life,Bone Plating,Unflinching,Hextech Flashtraption,Biscuit Delivery,Scaling CDR,Armor,Magic Resist
11.9,Wei,RNG,Rumble,Jungle,Domination,Sorcery,Dark Harvest,Cheap Shot,Zombie Ward,Ultimate Hunter,Absolute Focus,Gathering Storm,Scaling CDR,Adaptive Force,Armor,Link,629,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Armor
11.9,Cryin,RNG,Nocturne,Mid,Precision,Domination,Conqueror,Presence of Mind,Legend: Tenacity,Last Stand,Taste of Blood,Ultimate Hunter,Attack Speed,Adaptive Force,Armor,Link,628,Conqueror,Triumph,Legend: Tenacity,Last Stand,Second Wind,Unflinching,Attack Speed,Adaptive Force,Magic Resist
11.9,GALA,RNG,Kaisa,ADC,Domination,Inspiration,Hail of Blades,Taste of Blood,Eyeball Collection,Ravenous Hunter,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Armor,Link,627,Dark Harvest,Cheap Shot,Eyeball Collection,Ultimate Hunter,Nimbus Cloak,Absolute Focus,Scaling CDR,Adaptive Force,Magic Resist
11.9,Ming,RNG,Nautilus,Support,Resolve,Inspiration,Aftershock,Font of Life,Bone Plating,Unflinching,Minion Dematerializer,Perfect Timing,Attack Speed,Armor,Armor,Link,626,Grasp of the Undying,Demolish,Second Wind,Overgrowth,Time Warp Tonic,Biscuit Delivery,Adaptive Force,Adaptive Force,Armor
11.9,BioPanther,PGG,Urgot,Top,Precision,Resolve,Press the Attack,Triumph,Legend: Tenacity,Last Stand,Second Wind,Overgrowth,Adaptive Force,Adaptive Force,Armor,Link,625,Guardian,Font of Life,Bone Plating,Unflinching,Approach Velocity,Biscuit Delivery,Attack Speed,Armor,Magic Resist
11.9,Pabu,PGG,Fiddlesticks,Jungle,Domination,Sorcery,Electrocute,Sudden Impact,Ghost Poro,Ultimate Hunter,Absolute Focus,Gathering Storm,Adaptive Force,Adaptive Force,Magic Resist,Link,624,Lethal Tempo,Overheal,Legend: Bloodline,Cut Down,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Armor
11.9,Chazz,PGG,LeeSin,Mid,Precision,Resolve,Conqueror,Triumph,Legend: Tenacity,Last Stand,Second Wind,Unflinching,Attack Speed,Adaptive Force,Armor,Link,623,Phase Rush,Manaflow Band,Transcendence,Gathering Storm,Future's Market,Cosmic Insight,Attack Speed,Adaptive Force,Armor
11.9,Praedyth,PGG,Jinx,ADC,Precision,Domination,Lethal Tempo,Presence of Mind,Legend: Bloodline,Cut Down,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Armor,Link,622,Conqueror,Triumph,Legend: Tenacity,Last Stand,Unflinching,Conditioning,Attack Speed,Adaptive Force,Magic Resist
11.9,Decoy,PGG,Thresh,Support,Resolve,Inspiration,Guardian,Font of Life,Bone Plating,Unflinching,Biscuit Delivery,Cosmic Insight,Adaptive Force,Armor,Magic Resist,Link,621,Grasp of the Undying,Demolish,Second Wind,Unflinching,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Armor
11.9,BioPanther,PGG,Ornn,Top,Inspiration,Resolve,Unsealed Spellbook,Magical Footwear,Biscuit Delivery,Cosmic Insight,Conditioning,Overgrowth,Adaptive Force,Armor,Magic Resist,Link,620,Aftershock,Font of Life,Bone Plating,Unflinching,Biscuit Delivery,Hextech Flashtraption,Attack Speed,Armor,Armor
11.9,Pabu,PGG,Kindred,Jungle,Precision,Domination,Conqueror,Triumph,Legend: Alacrity,Cut Down,Sudden Impact,Ravenous Hunter,Attack Speed,Adaptive Force,Magic Resist,Link,619,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Armor
11.9,Chazz,PGG,Rumble,Mid,Sorcery,Domination,Arcane Comet,Nullifying Orb,Transcendence,Scorch,Taste of Blood,Ultimate Hunter,Adaptive Force,Adaptive Force,Magic Resist,Link,618,Phase Rush,Manaflow Band,Transcendence,Scorch,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Armor
11.9,Praedyth,PGG,Varus,ADC,Domination,Inspiration,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Cosmic Insight,Biscuit Delivery,Adaptive Force,Adaptive Force,Armor,Link,617,Phase Rush,Nimbus Cloak,Celerity,Waterwalking,Triumph,Legend: Tenacity,Attack Speed,Adaptive Force,Armor
11.9,Decoy,PGG,TahmKench,Support,Resolve,Inspiration,Guardian,Font of Life,Bone Plating,Unflinching,Biscuit Delivery,Approach Velocity,Attack Speed,Armor,Magic Resist,Link,616,Unsealed Spellbook,Magical Footwear,Biscuit Delivery,Approach Velocity,Second Wind,Overgrowth,Adaptive Force,Adaptive Force,Armor
11.9,BOSS,UOL,Gnar,Top,Resolve,Domination,Grasp of the Undying,Demolish,Second Wind,Unflinching,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Magic Resist,Link,615,Aftershock,Shield Bash,Bone Plating,Unflinching,Hextech Flashtraption,Cosmic Insight,Scaling CDR,Armor,Magic Resist
11.9,AHaHaCiK,UOL,Nidalee,Jungle,Domination,Sorcery,Electrocute,Sudden Impact,Eyeball Collection,Ravenous Hunter,Waterwalking,Transcendence,Attack Speed,Adaptive Force,Armor,Link,614,Hail of Blades,Taste of Blood,Eyeball Collection,Ravenous Hunter,Legend: Bloodline,Cut Down,Attack Speed,Adaptive Force,Armor
11.9,Nomanz,UOL,Orianna,Mid,Sorcery,Inspiration,Phase Rush,Manaflow Band,Transcendence,Gathering Storm,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Magic Resist,Link,613,Conqueror,Triumph,Legend: Tenacity,Last Stand,Overgrowth,Second Wind,Adaptive Force,Adaptive Force,Magic Resist
11.9,Lodik,UOL,Kaisa,ADC,Domination,Inspiration,Hail of Blades,Taste of Blood,Eyeball Collection,Ravenous Hunter,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Armor,Link,612,Predator,Cheap Shot,Zombie Ward,Relentless Hunter,Future's Market,Cosmic Insight,Scaling CDR,Adaptive Force,Armor
11.9,SaNTaS,UOL,Alistar,Support,Sorcery,Inspiration,Phase Rush,Nimbus Cloak,Celerity,Waterwalking,Time Warp Tonic,Hextech Flashtraption,Attack Speed,Armor,Scaling Health,Link,611,Fleet Footwork,Overheal,Legend: Alacrity,Cut Down,Overgrowth,Demolish,Attack Speed,Adaptive Force,Armor
11.9,StarScreen,IW,Sett,Top,Precision,Resolve,Conqueror,Triumph,Legend: Tenacity,Last Stand,Bone Plating,Unflinching,Attack Speed,Adaptive Force,Armor,Link,610,Aftershock,Shield Bash,Second Wind,Unflinching,Time Warp Tonic,Biscuit Delivery,Attack Speed,Magic Resist,Armor
11.9,Ferret,IW,Rumble,Jungle,Domination,Sorcery,Dark Harvest,Cheap Shot,Eyeball Collection,Ultimate Hunter,Nimbus Cloak,Celerity,Scaling CDR,Adaptive Force,Magic Resist,Link,609,Hail of Blades,Taste of Blood,Eyeball Collection,Ravenous Hunter,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Armor
11.9,Serin,IW,LeeSin,Mid,Precision,Resolve,Conqueror,Triumph,Legend: Tenacity,Last Stand,Bone Plating,Revitalize,Adaptive Force,Adaptive Force,Magic Resist,Link,608,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Triumph,Legend: Bloodline,Attack Speed,Adaptive Force,Magic Resist
11.9,HolyPhoenix,IW,Samira,ADC,Precision,Domination,Conqueror,Presence of Mind,Legend: Bloodline,Cut Down,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Armor,Link,607,Phase Rush,Nimbus Cloak,Celerity,Waterwalking,Zombie Ward,Ultimate Hunter,Attack Speed,Adaptive Force,Armor
11.9,Farfetch,IW,Alistar,Support,Resolve,Inspiration,Aftershock,Font of Life,Bone Plating,Unflinching,Hextech Flashtraption,Cosmic Insight,Scaling CDR,Magic Resist,Armor,Link,606,Grasp of the Undying,Demolish,Bone Plating,Overgrowth,Cosmic Insight,Future's Market,Attack Speed,Adaptive Force,Armor
11.9,Robo,PNG,Darius,Top,Precision,Resolve,Conqueror,Triumph,Legend: Tenacity,Coup de Grace,Bone Plating,Unflinching,Attack Speed,Adaptive Force,Armor,Link,605,Guardian,Font of Life,Bone Plating,Unflinching,Approach Velocity,Biscuit Delivery,Attack Speed,Armor,Armor
11.9,CarioK,PNG,Udyr,Jungle,Sorcery,Precision,Phase Rush,Nimbus Cloak,Celerity,Waterwalking,Triumph,Legend: Alacrity,Attack Speed,Adaptive Force,Armor,Link,604,Glacial Augment,Magical Footwear,Biscuit Delivery,Approach Velocity,Presence of Mind,Legend: Bloodline,Attack Speed,Adaptive Force,Armor
11.9,tinowns,PNG,Sylas,Mid,Precision,Inspiration,Conqueror,Presence of Mind,Legend: Tenacity,Last Stand,Biscuit Delivery,Cosmic Insight,Adaptive Force,Adaptive Force,Armor,Link,603,Phase Rush,Manaflow Band,Transcendence,Gathering Storm,Perfect Timing,Future's Market,Attack Speed,Adaptive Force,Armor
11.9,brTT,PNG,Tristana,ADC,Domination,Precision,Hail of Blades,Taste of Blood,Eyeball Collection,Ravenous Hunter,Legend: Bloodline,Coup de Grace,Attack Speed,Adaptive Force,Armor,Link,602,Phase Rush,Nimbus Cloak,Celerity,Waterwalking,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Magic Resist
11.9,Luci,PNG,Rell,Support,Resolve,Inspiration,Aftershock,Font of Life,Bone Plating,Unflinching,Hextech Flashtraption,Cosmic Insight,Scaling CDR,Armor,Magic Resist,Link,601,Conqueror,Triumph,Legend: Tenacity,Last Stand,Second Wind,Unflinching,Attack Speed,Adaptive Force,Armor
11.9,Armut,MAD,LeeSin,Top,Precision,Resolve,Conqueror,Triumph,Legend: Tenacity,Last Stand,Second Wind,Unflinching,Attack Speed,Adaptive Force,Armor,Link,600,Guardian,Font of Life,Bone Plating,Unflinching,Biscuit Delivery,Cosmic Insight,Adaptive Force,Armor,Magic Resist
11.9,Elyoya,MAD,Udyr,Jungle,Sorcery,Inspiration,Phase Rush,Nimbus Cloak,Celerity,Waterwalking,Future's Market,Cosmic Insight,Attack Speed,Adaptive Force,Magic Resist,Link,599,Lethal Tempo,Presence of Mind,Legend: Bloodline,Cut Down,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Magic Resist
11.9,Humanoid,MAD,Ryze,Mid,Sorcery,Domination,Phase Rush,Manaflow Band,Transcendence,Gathering Storm,Taste of Blood,Ravenous Hunter,Scaling CDR,Adaptive Force,Armor,Link,598,Fleet Footwork,Presence of Mind,Legend: Tenacity,Last Stand,Biscuit Delivery,Cosmic Insight,Adaptive Force,Adaptive Force,Magic Resist
11.9,Carzzy,MAD,Tristana,ADC,Domination,Precision,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Legend: Alacrity,Cut Down,Attack Speed,Adaptive Force,Armor,Link,597,Predator,Cheap Shot,Zombie Ward,Relentless Hunter,Nimbus Cloak,Absolute Focus,Adaptive Force,Adaptive Force,Magic Resist
11.9,Kaiser,MAD,Nautilus,Support,Resolve,Inspiration,Aftershock,Shield Bash,Bone Plating,Unflinching,Biscuit Delivery,Hextech Flashtraption,Attack Speed,Magic Resist,Armor,Link,596,Conqueror,Triumph,Legend: Tenacity,Last Stand,Second Wind,Revitalize,Adaptive Force,Adaptive Force,Armor
11.9,Hanabi,PSG,Gnar,Top,Resolve,Domination,Grasp of the Undying,Demolish,Bone Plating,Overgrowth,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Armor,Link,595,Aftershock,Font of Life,Bone Plating,Unflinching,Biscuit Delivery,Hextech Flashtraption,Attack Speed,Armor,Armor
11.9,River,PSG,Nidalee,Jungle,Precision,Sorcery,Conqueror,Triumph,Legend: Tenacity,Last Stand,Transcendence,Waterwalking,Attack Speed,Adaptive Force,Magic Resist,Link,594,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Armor
