Patch,Player,Team,Champion,Position,Tree,Secondary,Keystone,Rune1,Rune2,Rune3,Rune4,Rune5,Stat1,Stat2,Stat3,MH,Number,KeystoneReverse,Rune1Reverse,Rune2Reverse,Rune3Reverse,Rune4Reverse,Rune5Reverse,,,
11.9,Zven,C9,Jinx,ADC,Precision,Domination,Lethal Tempo,Presence of Mind,Legend: Bloodline,Coup de Grace,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Armor,Link,497,Predator,Cheap Shot,Zombie Ward,Ingenious Hunter,Future's Market,Cosmic Insight,Attack Speed,Adaptive Force,Magic Resist
11.9,Vulcan,C9,Thresh,Support,Resolve,Inspiration,Guardian,Demolish,Bone Plating,Unflinching,Perfect Timing,Cosmic Insight,Adaptive Force,Magic Resist,Armor,Link,496,Grasp of the Undying,Demolish,Second Wind,Overgrowth,Magical Footwear,Approach Velocity,Attack Speed,Adaptive Force,Armor
11.9,Buggax,INF,Gangplank,Top,Resolve,Sorcery,Grasp of the Undying,Demolish,Bone Plating,Overgrowth,Manaflow Band,Transcendence,Adaptive Force,Adaptive Force,Armor,Link,495,Guardian,Font of Life,Bone Plating,Unflinching,Biscuit Delivery,Approach Velocity,Attack Speed,Adaptive Force,Armor
11.9,SolidSnake,INF,Udyr,Jungle,Sorcery,Precision,Phase Rush,Nimbus Cloak,Celerity,Waterwalking,Triumph,Legend: Alacrity,Attack Speed,Adaptive Force,Magic Resist,Link,494,Glacial Augment,Magical Footwear,Biscuit Delivery,Approach Velocity,Presence of Mind,Cut Down,Adaptive Force,Adaptive Force,Armor
11.9,cody,INF,Viktor,Mid,Sorcery,Inspiration,Phase Rush,Manaflow Band,Transcendence,Scorch,Cosmic Insight,Biscuit Delivery,Attack Speed,Adaptive Force,Armor,Link,493,Unsealed Spellbook,Perfect Timing,Biscuit Delivery,Cosmic Insight,Taste of Blood,Zombie Ward,Attack Speed,Adaptive Force,Magic Resist
11.9,Whitelotus,INF,Kaisa,ADC,Domination,Inspiration,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Armor,Link,492,Phase Rush,Nimbus Cloak,Celerity,Waterwalking,Triumph,Legend: Tenacity,Attack Speed,Adaptive Force,Magic Resist
11.9,Ackerman,INF,Rell,Support,Resolve,Inspiration,Aftershock,Shield Bash,Bone Plating,Unflinching,Hextech Flashtraption,Cosmic Insight,Scaling CDR,Armor,Armor,Link,491,Phase Rush,Manaflow Band,Transcendence,Gathering Storm,Future's Market,Cosmic Insight,Attack Speed,Adaptive Force,Armor
11.9,Armut,MAD,LeeSin,Top,Precision,Resolve,Conqueror,Triumph,Legend: Tenacity,Last Stand,Bone Plating,Revitalize,Attack Speed,Adaptive Force,Armor,Link,490,Aftershock,Shield Bash,Bone Plating,Unflinching,Biscuit Delivery,Hextech Flashtraption,Attack Speed,Armor,Magic Resist
11.9,Elyoya,MAD,Morgana,Jungle,Domination,Sorcery,Predator,Cheap Shot,Eyeball Collection,Relentless Hunter,Absolute Focus,Gathering Storm,Attack Speed,Adaptive Force,Armor,Link,489,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Biscuit Delivery,Magical Footwear,Attack Speed,Adaptive Force,Armor
11.9,Humanoid,MAD,KogMaw,Mid,Sorcery,Inspiration,Phase Rush,Manaflow Band,Transcendence,Scorch,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Magic Resist,Link,488,Predator,Taste of Blood,Eyeball Collection,Ingenious Hunter,Second Wind,Unflinching,Adaptive Force,Adaptive Force,Magic Resist
11.9,Carzzy,MAD,Aphelios,ADC,Precision,Domination,Conqueror,Presence of Mind,Legend: Bloodline,Cut Down,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Armor,Link,487,Predator,Cheap Shot,Zombie Ward,Relentless Hunter,Nimbus Cloak,Absolute Focus,Adaptive Force,Adaptive Force,Magic Resist
11.9,Kaiser,MAD,Thresh,Support,Resolve,Inspiration,Guardian,Font of Life,Second Wind,Unflinching,Cosmic Insight,Biscuit Delivery,Adaptive Force,Adaptive Force,Armor,Link,486,Grasp of the Undying,Demolish,Second Wind,Overgrowth,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Armor
11.9,Robo,PNG,Camille,Top,Resolve,Inspiration,Grasp of the Undying,Shield Bash,Bone Plating,Unflinching,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Armor,Link,485,Aftershock,Font of Life,Bone Plating,Unflinching,Biscuit Delivery,Hextech Flashtraption,Attack Speed,Magic Resist,Armor
11.9,CarioK,PNG,Olaf,Jungle,Precision,Inspiration,Conqueror,Triumph,Legend: Alacrity,Last Stand,Magical Footwear,Cosmic Insight,Adaptive Force,Adaptive Force,Armor,Link,484,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Legend: Alacrity,Cut Down,Attack Speed,Adaptive Force,Armor
11.9,tinowns,PNG,Zoe,Mid,Inspiration,Sorcery,Unsealed Spellbook,Perfect Timing,Minion Dematerializer,Cosmic Insight,Transcendence,Manaflow Band,Attack Speed,Adaptive Force,Magic Resist,Link,483,Phase Rush,Manaflow Band,Transcendence,Gathering Storm,Cosmic Insight,Magical Footwear,Attack Speed,Adaptive Force,Magic Resist
11.9,brTT,PNG,Jinx,ADC,Precision,Inspiration,Lethal Tempo,Presence of Mind,Legend: Bloodline,Coup de Grace,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Armor,Link,482,Dark Harvest,Cheap Shot,Zombie Ward,Ultimate Hunter,Legend: Tenacity,Coup de Grace,Scaling CDR,Adaptive Force,Magic Resist
11.9,Luci,PNG,TahmKench,Support,Resolve,Inspiration,Guardian,Font of Life,Second Wind,Unflinching,Biscuit Delivery,Approach Velocity,Attack Speed,Armor,Armor,Link,481,Phase Rush,Manaflow Band,Absolute Focus,Gathering Storm,Magical Footwear,Biscuit Delivery,Adaptive Force,Adaptive Force,Armor
11.9,Hanabi,PSG,Renekton,Top,Precision,Resolve,Conqueror,Triumph,Legend: Tenacity,Last Stand,Second Wind,Overgrowth,Adaptive Force,Adaptive Force,Armor,Link,480,Aftershock,Font of Life,Bone Plating,Unflinching,Hextech Flashtraption,Biscuit Delivery,Attack Speed,Armor,Armor
11.9,River,PSG,Rumble,Jungle,Domination,Sorcery,Dark Harvest,Cheap Shot,Zombie Ward,Ultimate Hunter,Nimbus Cloak,Absolute Focus,Scaling CDR,Adaptive Force,Magic Resist,Link,479,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Armor
11.9,Maple,PSG,Sylas,Mid,Precision,Inspiration,Conqueror,Presence of Mind,Legend: Tenacity,Last Stand,Biscuit Delivery,Cosmic Insight,Adaptive Force,Adaptive Force,Armor,Link,478,Unsealed Spellbook,Perfect Timing,Biscuit Delivery,Cosmic Insight,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Armor
11.9,Doggo,PSG,Aphelios,ADC,Precision,Domination,Conqueror,Overheal,Legend: Bloodline,Cut Down,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Magic Resist,Link,477,Phase Rush,Nimbus Cloak,Celerity,Waterwalking,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Armor
11.9,Kaiwing,PSG,Thresh,Support,Resolve,Inspiration,Aftershock,Font of Life,Bone Plating,Unflinching,Perfect Timing,Biscuit Delivery,Adaptive Force,Armor,Magic Resist,Link,476,Phase Rush,Manaflow Band,Absolute Focus,Gathering Storm,Magical Footwear,Biscuit Delivery,Adaptive Force,Adaptive Force,Armor
11.9,StarScreen,IW,Gangplank,Top,Resolve,Inspiration,Grasp of the Undying,Demolish,Bone Plating,Revitalize,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Armor,Link,475,Aftershock,Font of Life,Bone Plating,Unflinching,Hextech Flashtraption,Cosmic Insight,Scaling CDR,Armor,Magic Resist
11.9,Ferret,IW,Morgana,Jungle,Domination,Sorcery,Predator,Cheap Shot,Zombie Ward,Relentless Hunter,Absolute Focus,Gathering Storm,Attack Speed,Adaptive Force,Magic Resist,Link,474,Lethal Tempo,Overheal,Legend: Bloodline,Cut Down,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Armor
11.9,Serin,IW,Yone,Mid,Precision,Domination,Conqueror,Overheal,Legend: Alacrity,Last Stand,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Magic Resist,Link,473,Conqueror,Triumph,Legend: Tenacity,Last Stand,Second Wind,Unflinching,Attack Speed,Adaptive Force,Magic Resist
11.9,HolyPhoenix,IW,Kaisa,ADC,Domination,Inspiration,Hail of Blades,Taste of Blood,Eyeball Collection,Ravenous Hunter,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Armor,Link,472,Conqueror,Triumph,Legend: Tenacity,Coup de Grace,Ultimate Hunter,Zombie Ward,Adaptive Force,Adaptive Force,Magic Resist
11.9,Farfetch,IW,Nautilus,Support,Resolve,Inspiration,Aftershock,Font of Life,Bone Plating,Unflinching,Biscuit Delivery,Hextech Flashtraption,Adaptive Force,Magic Resist,Armor,Link,471,Hail of Blades,Taste of Blood,Ghost Poro,Ravenous Hunter,Second Wind,Overgrowth,Attack Speed,Adaptive Force,Armor
11.9,BOSS,UOL,Nocturne,Top,Precision,Inspiration,Conqueror,Presence of Mind,Legend: Tenacity,Last Stand,Biscuit Delivery,Time Warp Tonic,Attack Speed,Adaptive Force,Armor,Link,470,Aftershock,Font of Life,Bone Plating,Unflinching,Hextech Flashtraption,Biscuit Delivery,Scaling CDR,Armor,Magic Resist
11.9,AHaHaCiK,UOL,Rumble,Jungle,Domination,Sorcery,Dark Harvest,Cheap Shot,Eyeball Collection,Ultimate Hunter,Absolute Focus,Nimbus Cloak,Scaling CDR,Adaptive Force,Armor,Link,469,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Biscuit Delivery,Magical Footwear,Attack Speed,Adaptive Force,Magic Resist
11.9,Nomanz,UOL,Viktor,Mid,Sorcery,Inspiration,Phase Rush,Manaflow Band,Transcendence,Gathering Storm,Cosmic Insight,Biscuit Delivery,Attack Speed,Adaptive Force,Magic Resist,Link,468,Fleet Footwork,Presence of Mind,Legend: Tenacity,Last Stand,Second Wind,Unflinching,Adaptive Force,Adaptive Force,Magic Resist
11.9,Lodik,UOL,Xayah,ADC,Precision,Inspiration,Lethal Tempo,Presence of Mind,Legend: Bloodline,Cut Down,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Armor,Link,467,Predator,Cheap Shot,Zombie Ward,Relentless Hunter,Nimbus Cloak,Absolute Focus,Adaptive Force,Adaptive Force,Magic Resist
11.9,SaNTaS,UOL,Alistar,Support,Resolve,Inspiration,Aftershock,Font of Life,Bone Plating,Unflinching,Hextech Flashtraption,Minion Dematerializer,Attack Speed,Armor,Scaling Health,Link,466,Conqueror,Triumph,Legend: Tenacity,Last Stand,Bone Plating,Revitalize,Attack Speed,Adaptive Force,Armor
11.9,Xiaohu,RNG,Renekton,Top,Precision,Resolve,Conqueror,Triumph,Legend: Alacrity,Last Stand,Demolish,Bone Plating,Adaptive Force,Adaptive Force,Armor,Link,465,Guardian,Font of Life,Second Wind,Revitalize,Biscuit Delivery,Time Warp Tonic,Attack Speed,Adaptive Force,Armor
11.9,Wei,RNG,Morgana,Jungle,Domination,Sorcery,Predator,Cheap Shot,Zombie Ward,Relentless Hunter,Absolute Focus,Gathering Storm,Attack Speed,Adaptive Force,Magic Resist,Link,464,Lethal Tempo,Overheal,Legend: Alacrity,Coup de Grace,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Armor
11.9,Cryin,RNG,Sylas,Mid,Precision,Inspiration,Conqueror,Presence of Mind,Legend: Tenacity,Last Stand,Biscuit Delivery,Cosmic Insight,Scaling CDR,Adaptive Force,Magic Resist,Link,463,Phase Rush,Manaflow Band,Transcendence,Gathering Storm,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Magic Resist
11.9,GALA,RNG,Kaisa,ADC,Domination,Inspiration,Hail of Blades,Taste of Blood,Eyeball Collection,Ravenous Hunter,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Armor,Link,462,Phase Rush,Nimbus Cloak,Celerity,Waterwalking,Triumph,Legend: Tenacity,Attack Speed,Adaptive Force,Magic Resist
11.9,Ming,RNG,Leona,Support,Resolve,Inspiration,Aftershock,Font of Life,Bone Plating,Unflinching,Biscuit Delivery,Hextech Flashtraption,Adaptive Force,Armor,Magic Resist,Link,461,Conqueror,Triumph,Legend: Tenacity,Last Stand,Unflinching,Second Wind,Attack Speed,Adaptive Force,Armor
11.9,BOSS,UOL,Urgot,Top,Precision,Resolve,Press the Attack,Presence of Mind,Legend: Tenacity,Last Stand,Bone Plating,Unflinching,Adaptive Force,Adaptive Force,Armor,Link,460,Guardian,Demolish,Bone Plating,Unflinching,Cosmic Insight,Biscuit Delivery,Attack Speed,Armor,Magic Resist
11.9,AHaHaCiK,UOL,Nidalee,Jungle,Domination,Sorcery,Electrocute,Sudden Impact,Eyeball Collection,Ravenous Hunter,Waterwalking,Transcendence,Attack Speed,Adaptive Force,Armor,Link,459,Conqueror,Presence of Mind,Legend: Bloodline,Cut Down,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Armor
11.9,Nomanz,UOL,Orianna,Mid,Sorcery,Inspiration,Phase Rush,Manaflow Band,Transcendence,Scorch,Cosmic Insight,Biscuit Delivery,Attack Speed,Adaptive Force,Magic Resist,Link,458,Unsealed Spellbook,Perfect Timing,Minion Dematerializer,Time Warp Tonic,Second Wind,Unflinching,Attack Speed,Adaptive Force,Magic Resist
11.9,Lodik,UOL,Tristana,ADC,Domination,Precision,Hail of Blades,Taste of Blood,Eyeball Collection,Ravenous Hunter,Legend: Bloodline,Cut Down,Attack Speed,Adaptive Force,Armor,Link,457,Conqueror,Triumph,Legend: Alacrity,Last Stand,Magical Footwear,Approach Velocity,Adaptive Force,Adaptive Force,Magic Resist
11.9,SaNTaS,UOL,Alistar,Support,Resolve,Inspiration,Aftershock,Font of Life,Bone Plating,Unflinching,Hextech Flashtraption,Minion Dematerializer,Attack Speed,Armor,Scaling Health,Link,456,Hail of Blades,Taste of Blood,Ghost Poro,Ravenous Hunter,Demolish,Bone Plating,Attack Speed,Adaptive Force,Armor
11.9,BioPanther,PGG,Renekton,Top,Precision,Resolve,Conqueror,Triumph,Legend: Tenacity,Last Stand,Demolish,Second Wind,Attack Speed,Adaptive Force,Armor,Link,455,Guardian,Font of Life,Second Wind,Unflinching,Biscuit Delivery,Approach Velocity,Attack Speed,Armor,Armor
11.9,Pabu,PGG,Graves,Jungle,Sorcery,Precision,Phase Rush,Nimbus Cloak,Absolute Focus,Waterwalking,Triumph,Legend: Alacrity,Attack Speed,Adaptive Force,Magic Resist,Link,454,Lethal Tempo,Presence of Mind,Legend: Bloodline,Cut Down,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Armor
11.9,Chazz,PGG,Ahri,Mid,Domination,Inspiration,Electrocute,Cheap Shot,Eyeball Collection,Ultimate Hunter,Biscuit Delivery,Cosmic Insight,Adaptive Force,Adaptive Force,Magic Resist,Link,453,Phase Rush,Manaflow Band,Transcendence,Scorch,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Magic Resist
11.9,Praedyth,PGG,Kaisa,ADC,Domination,Precision,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Legend: Bloodline,Presence of Mind,Attack Speed,Adaptive Force,Armor,Link,452,Predator,Cheap Shot,Zombie Ward,Relentless Hunter,Perfect Timing,Cosmic Insight,Attack Speed,Adaptive Force,Armor
11.9,Decoy,PGG,Nautilus,Support,Resolve,Inspiration,Aftershock,Font of Life,Bone Plating,Unflinching,Perfect Timing,Minion Dematerializer,Attack Speed,Armor,Magic Resist,Link,451,Conqueror,Presence of Mind,Legend: Tenacity,Last Stand,Unflinching,Second Wind,Attack Speed,Adaptive Force,Armor
11.9,Xiaohu,RNG,Gnar,Top,Precision,Domination,Fleet Footwork,Overheal,Legend: Alacrity,Last Stand,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Armor,Link,450,Guardian,Font of Life,Second Wind,Revitalize,Biscuit Delivery,Time Warp Tonic,Attack Speed,Adaptive Force,Armor
11.9,Wei,RNG,Volibear,Jungle,Precision,Sorcery,Press the Attack,Triumph,Legend: Tenacity,Last Stand,Nimbus Cloak,Waterwalking,Attack Speed,Adaptive Force,Magic Resist,Link,449,Lethal Tempo,Presence of Mind,Legend: Bloodline,Cut Down,Biscuit Delivery,Approach Velocity,Attack Speed,Adaptive Force,Armor
11.9,Cryin,RNG,Syndra,Mid,Sorcery,Inspiration,Phase Rush,Manaflow Band,Transcendence,Scorch,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Armor,Link,448,Press the Attack,Presence of Mind,Legend: Bloodline,Cut Down,Biscuit Delivery,Time Warp Tonic,Attack Speed,Adaptive Force,Magic Resist
11.9,GALA,RNG,Varus,ADC,Domination,Inspiration,Hail of Blades,Taste of Blood,Eyeball Collection,Ravenous Hunter,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Armor,Link,447,Phase Rush,Nimbus Cloak,Celerity,Waterwalking,Future's Market,Cosmic Insight,Attack Speed,Adaptive Force,Magic Resist
11.9,Ming,RNG,Leona,Support,Resolve,Inspiration,Aftershock,Font of Life,Bone Plating,Unflinching,Minion Dematerializer,Perfect Timing,Adaptive Force,Armor,Magic Resist,Link,446,Summon Aery,Manaflow Band,Transcendence,Gathering Storm,Future's Market,Cosmic Insight,Attack Speed,Adaptive Force,Armor
11.9,BioPanther,PGG,Urgot,Top,Precision,Resolve,Press the Attack,Triumph,Legend: Tenacity,Last Stand,Second Wind,Overgrowth,Adaptive Force,Adaptive Force,Armor,Link,445,Aftershock,Font of Life,Second Wind,Overgrowth,Biscuit Delivery,Approach Velocity,Attack Speed,Armor,Magic Resist
11.9,Pabu,PGG,Nidalee,Jungle,Precision,Sorcery,Conqueror,Triumph,Legend: Tenacity,Coup de Grace,Transcendence,Waterwalking,Attack Speed,Adaptive Force,Armor,Link,444,Glacial Augment,Magical Footwear,Biscuit Delivery,Approach Velocity,Cut Down,Presence of Mind,Attack Speed,Adaptive Force,Armor
11.9,Chazz,PGG,Qiyana,Mid,Domination,Inspiration,Electrocute,Sudden Impact,Eyeball Collection,Ravenous Hunter,Biscuit Delivery,Cosmic Insight,Adaptive Force,Adaptive Force,Magic Resist,Link,443,Phase Rush,Manaflow Band,Absolute Focus,Scorch,Time Warp Tonic,Biscuit Delivery,Attack Speed,Adaptive Force,Armor
11.9,Praedyth,PGG,Kaisa,ADC,Domination,Precision,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Cut Down,Legend: Bloodline,Attack Speed,Adaptive Force,Armor,Link,442,Predator,Cheap Shot,Zombie Ward,Ultimate Hunter,Nimbus Cloak,Transcendence,Scaling CDR,Adaptive Force,Armor
11.9,Decoy,PGG,Nautilus,Support,Resolve,Inspiration,Aftershock,Font of Life,Bone Plating,Unflinching,Perfect Timing,Minion Dematerializer,Attack Speed,Armor,Magic Resist,Link,441,Unsealed Spellbook,Magical Footwear,Biscuit Delivery,Cosmic Insight,Second Wind,Overgrowth,Attack Speed,Magic Resist,Armor
11.9,Xiaohu,RNG,Lucian,Top,Precision,Inspiration,Press the Attack,Presence of Mind,Legend: Bloodline,Coup de Grace,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Armor,Link,440,Arcane Comet,Nimbus Cloak,Absolute Focus,Scorch,Cosmic Insight,Biscuit Delivery,Adaptive Force,Adaptive Force,Armor
11.9,Wei,RNG,Rumble,Jungle,Domination,Sorcery,Dark Harvest,Cheap Shot,Zombie Ward,Ultimate Hunter,Absolute Focus,Gathering Storm,Scaling CDR,Adaptive Force,Magic Resist,Link,439,Lethal Tempo,Overheal,Legend: Bloodline,Cut Down,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Armor
11.9,Cryin,RNG,Ryze,Mid,Sorcery,Domination,Phase Rush,Manaflow Band,Transcendence,Waterwalking,Taste of Blood,Ravenous Hunter,Scaling CDR,Adaptive Force,Magic Resist,Link,438,Conqueror,Presence of Mind,Legend: Tenacity,Last Stand,Biscuit Delivery,Cosmic Insight,Scaling CDR,Adaptive Force,Armor
11.9,GALA,RNG,Kalista,ADC,Domination,Precision,Hail of Blades,Taste of Blood,Eyeball Collection,Ravenous Hunter,Overheal,Legend: Alacrity,Attack Speed,Adaptive Force,Armor,Link,437,Phase Rush,Nimbus Cloak,Celerity,Waterwalking,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Armor
11.9,Ming,RNG,Nautilus,Support,Resolve,Inspiration,Aftershock,Font of Life,Bone Plating,Unflinching,Minion Dematerializer,Perfect Timing,Attack Speed,Armor,Magic Resist,Link,436,Phase Rush,Manaflow Band,Absolute Focus,Gathering Storm,Magical Footwear,Biscuit Delivery,Adaptive Force,Adaptive Force,Armor
11.9,BOSS,UOL,Gnar,Top,Resolve,Domination,Grasp of the Undying,Demolish,Second Wind,Overgrowth,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Armor,Link,435,Summon Aery,Manaflow Band,Transcendence,Scorch,Cosmic Insight,Biscuit Delivery,Adaptive Force,Adaptive Force,Armor
11.9,AHaHaCiK,UOL,Nidalee,Jungle,Domination,Sorcery,Electrocute,Sudden Impact,Eyeball Collection,Ravenous Hunter,Waterwalking,Transcendence,Attack Speed,Adaptive Force,Armor,Link,434,Conqueror,Overheal,Legend: Bloodline,Cut Down,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Armor
11.9,Nomanz,UOL,Orianna,Mid,Sorcery,Inspiration,Phase Rush,Manaflow Band,Transcendence,Scorch,Cosmic Insight,Biscuit Delivery,Attack Speed,Adaptive Force,Magic Resist,Link,433,Conqueror,Triumph,Legend: Tenacity,Last Stand,Second Wind,Revitalize,Attack Speed,Adaptive Force,Magic Resist
11.9,Lodik,UOL,Varus,ADC,Domination,Inspiration,Hail of Blades,Taste of Blood,Eyeball Collection,Ultimate Hunter,Cosmic Insight,Perfect Timing,Attack Speed,Adaptive Force,Armor,Link,432,Conqueror,Triumph,Legend: Alacrity,Last Stand,Approach Velocity,Magical Footwear,Adaptive Force,Adaptive Force,Magic Resist
11.9,SaNTaS,UOL,Alistar,Support,Resolve,Inspiration,Aftershock,Font of Life,Bone Plating,Unflinching,Hextech Flashtraption,Minion Dematerializer,Attack Speed,Armor,Scaling Health,Link,431,Unsealed Spellbook,Magical Footwear,Minion Dematerializer,Cosmic Insight,Conditioning,Overgrowth,Attack Speed,Adaptive Force,Armor
11.9,BioPanther,PGG,Sett,Top,Precision,Resolve,Conqueror,Triumph,Legend: Tenacity,Last Stand,Second Wind,Revitalize,Attack Speed,Adaptive Force,Armor,Link,430,Aftershock,Font of Life,Bone Plating,Unflinching,Biscuit Delivery,Hextech Flashtraption,Attack Speed,Magic Resist,Armor
11.9,Pabu,PGG,Nidalee,Jungle,Precision,Sorcery,Conqueror,Triumph,Legend: Tenacity,Coup de Grace,Transcendence,Waterwalking,Attack Speed,Adaptive Force,Armor,Link,429,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Armor
11.9,Chazz,PGG,Zed,Mid,Domination,Sorcery,Electrocute,Taste of Blood,Eyeball Collection,Ultimate Hunter,Nimbus Cloak,Transcendence,Adaptive Force,Adaptive Force,Magic Resist,Link,428,Press the Attack,Presence of Mind,Legend: Bloodline,Coup de Grace,Magical Footwear,Biscuit Delivery,Attack Speed,Adaptive Force,Armor
11.9,Praedyth,PGG,Samira,ADC,Precision,Domination,Conqueror,Presence of Mind,Legend: Bloodline,Cut Down,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Armor,Link,427,Phase Rush,Nimbus Cloak,Celerity,Waterwalking,Cosmic Insight,Future's Market,Attack Speed,Adaptive Force,Magic Resist
11.9,Decoy,PGG,Galio,Support,Resolve,Sorcery,Aftershock,Font of Life,Bone Plating,Unflinching,Nimbus Cloak,Transcendence,Adaptive Force,Adaptive Force,Armor,Link,426,Conqueror,Presence of Mind,Legend: Tenacity,Last Stand,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Armor
11.9,BOSS,UOL,Nocturne,Top,Precision,Inspiration,Conqueror,Presence of Mind,Legend: Tenacity,Last Stand,Biscuit Delivery,Time Warp Tonic,Attack Speed,Adaptive Force,Armor,Link,425,Aftershock,Shield Bash,Bone Plating,Unflinching,Hextech Flashtraption,Biscuit Delivery,Attack Speed,Magic Resist,Armor
11.9,AHaHaCiK,UOL,LeeSin,Jungle,Precision,Inspiration,Conqueror,Triumph,Legend: Tenacity,Last Stand,Magical Footwear,Cosmic Insight,Attack Speed,Adaptive Force,Armor,Link,424,Lethal Tempo,Overheal,Legend: Alacrity,Coup de Grace,Taste of Blood,Ultimate Hunter,Attack Speed,Adaptive Force,Armor
11.9,Nomanz,UOL,Vladimir,Mid,Domination,Sorcery,Electrocute,Taste of Blood,Eyeball Collection,Ravenous Hunter,Gathering Storm,Transcendence,Scaling CDR,Adaptive Force,Armor,Link,423,Press the Attack,Presence of Mind,Legend: Alacrity,Last Stand,Bone Plating,Revitalize,Attack Speed,Adaptive Force,Armor
11.9,Lodik,UOL,Kaisa,ADC,Domination,Inspiration,Hail of Blades,Taste of Blood,Eyeball Collection,Ravenous Hunter,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Armor,Link,422,Predator,Cheap Shot,Eyeball Collection,Ultimate Hunter,Nimbus Cloak,Transcendence,Scaling CDR,Adaptive Force,Armor
11.9,SaNTaS,UOL,Nautilus,Support,Resolve,Inspiration,Aftershock,Shield Bash,Bone Plating,Unflinching,Perfect Timing,Minion Dematerializer,Attack Speed,Armor,Armor,Link,421,Grasp of the Undying,Demolish,Second Wind,Overgrowth,Future's Market,Cosmic Insight,Attack Speed,Adaptive Force,Magic Resist
11.9,BioPanther,PGG,Urgot,Top,Precision,Resolve,Press the Attack,Triumph,Legend: Tenacity,Last Stand,Conditioning,Unflinching,Adaptive Force,Adaptive Force,Armor,Link,420,Aftershock,Font of Life,Bone Plating,Unflinching,Cosmic Insight,Biscuit Delivery,Attack Speed,Armor,Armor
11.9,Pabu,PGG,Rumble,Jungle,Domination,Sorcery,Dark Harvest,Cheap Shot,Ghost Poro,Ultimate Hunter,Transcendence,Waterwalking,Scaling CDR,Adaptive Force,Magic Resist,Link,419,Hail of Blades,Taste of Blood,Zombie Ward,Ravenous Hunter,Presence of Mind,Legend: Bloodline,Attack Speed,Adaptive Force,Armor
11.9,Chazz,PGG,Orianna,Mid,Sorcery,Inspiration,Phase Rush,Manaflow Band,Transcendence,Scorch,Biscuit Delivery,Cosmic Insight,Attack Speed,Adaptive Force,Magic Resist,Link,418,Electrocute,Taste of Blood,Eyeball Collection,Ultimate Hunter,Transcendence,Scorch,Adaptive Force,Adaptive Force,Magic Resist
11.9,Praedyth,PGG,Vayne,ADC,Precision,Domination,Press the Attack,Overheal,Legend: Bloodline,Cut Down,Taste of Blood,Ravenous Hunter,Attack Speed,Adaptive Force,Armor,Link,417,Dark Harvest,Cheap Shot,Zombie Ward,Relentless Hunter,Cosmic Insight,Magical Footwear,Attack Speed,Adaptive Force,Magic Resist
